stm32_time_ms;d6t_temp_c;ds18b20_temp_c;motor_ud_v;motor_uq_v;motor_speed_mech_rpm;motor_id_a;motor_iq_a
93447;24.9;26.25;0.000;0.000;0.000;0.000;0.000
93547;24.9;26.25;0.000;0.000;0.000;0.000;0.000
93647;24.9;26.25;0.000;0.000;0.000;0.000;0.000
93747;24.9;26.25;0.000;0.000;0.000;0.000;0.000
93847;24.9;26.25;0.000;0.000;0.000;0.000;0.000
93947;24.9;26.25;0.000;0.000;0.000;0.000;0.000
94047;24.9;26.25;0.000;0.000;0.000;0.000;0.000
94147;24.9;26.25;0.000;0.000;0.000;0.000;0.000
94247;24.9;26.25;0.000;0.000;0.000;0.000;0.000
94347;25.0;26.25;0.000;0.000;0.000;0.000;0.000
94447;25.0;26.25;0.000;0.000;0.000;0.000;0.000
94547;24.9;26.25;0.000;0.000;0.000;0.000;0.000
94647;24.9;26.25;0.000;0.000;0.000;0.000;0.000
94747;24.9;26.25;0.000;0.000;0.000;0.000;0.000
94847;25.1;26.25;0.000;0.000;0.000;0.000;0.000
94947;25.1;26.25;0.000;0.000;0.000;0.000;0.000
95047;25.0;26.25;0.000;0.000;0.000;0.000;0.000
95147;25.0;26.25;0.000;0.000;0.000;0.000;0.000
95247;25.0;26.25;0.000;0.000;0.000;0.000;0.000
95347;25.0;26.25;0.000;0.000;0.000;0.000;0.000
95447;25.0;26.25;0.000;0.000;0.000;0.000;0.000
95547;25.0;26.25;0.000;0.000;0.000;0.000;0.000
95647;25.0;26.25;0.000;0.000;0.000;0.000;0.000
95747;25.0;26.25;0.000;0.000;0.000;0.000;0.000
95847;24.9;26.25;0.000;0.000;0.000;0.000;0.000
95947;24.9;26.25;0.000;0.000;0.000;0.000;0.000
96047;24.9;26.25;0.000;0.000;0.000;0.000;0.000
96147;24.9;26.25;0.000;0.000;0.000;0.000;0.000
96247;24.9;26.25;0.000;0.000;0.000;0.000;0.000
96347;24.9;26.25;0.000;0.000;0.000;0.000;0.000
96447;24.9;26.25;0.000;0.000;0.000;0.000;0.000
96547;24.9;26.25;0.000;0.000;0.000;0.000;0.000
96647;24.9;26.25;0.000;0.000;0.000;0.000;0.000
96747;24.9;26.25;0.000;0.000;0.000;0.000;0.000
96847;24.9;26.25;0.000;0.000;0.000;0.000;0.000
96947;24.9;26.25;0.000;0.000;0.000;0.000;0.000
97047;24.9;26.25;0.000;0.000;0.000;0.000;0.000
97147;24.9;26.25;0.000;0.000;0.000;0.000;0.000
97247;24.9;26.25;0.000;0.000;0.000;0.000;0.000
97347;24.9;26.25;0.000;0.000;0.000;0.000;0.000
97447;24.9;26.25;0.000;0.000;0.000;0.000;0.000
97547;24.9;26.25;0.000;0.000;0.000;0.000;0.000
